time,open,high,low,close,volume,support,resistance,sma_20,signal,sl,tp,position_open,position_price,position_sl,position_tp
1970-01-01 00:00:01.750811160,103081.3158,103105.1082,103020.3463,103087.7193,84762,,,,0,,,False,,,
1970-01-01 00:00:01.750811220,103097.0974,103272.2958,103084.6219,103259.457,187674,,,,0,,,False,,,
1970-01-01 00:00:01.750811280,103247.196,103303.2649,103220.2858,103231.8849,82979,,,,0,,,False,,,
1970-01-01 00:00:01.750811340,103231.6742,103353.1538,103205.491,103315.8374,147663,,,,0,,,False,,,
1970-01-01 00:00:01.750811400,103289.7165,103393.7449,103201.3812,103201.3812,192364,,,,0,,,False,,,
1970-01-01 00:00:01.750811460,103224.2106,103229.9174,103110.0485,103110.0485,119869,,,,0,,,False,,,
1970-01-01 00:00:01.750811520,103126.165,103171.3289,103091.1712,103171.3289,80158,,,,0,,,False,,,
1970-01-01 00:00:01.750811580,103173.5095,103173.5095,103034.8916,103034.8916,138618,,,,0,,,False,,,
1970-01-01 00:00:01.750811640,103051.4099,103105.1771,103032.9906,103077.42,72186,,,,0,,,False,,,
1970-01-01 00:00:01.750811700,103091.1078,103091.1078,102910.829,102953.106,180279,,,,0,,,False,,,
1970-01-01 00:00:01.750811760,102946.3809,103063.356,102929.3681,102977.542,133988,,,,0,,,False,,,
1970-01-01 00:00:01.750811820,102970.2381,102993.7722,102833.3747,102833.3747,160398,,,,0,,,False,,,
1970-01-01 00:00:01.750811880,102807.364,102875.5698,102760.6359,102835.7457,114934,,,,0,,,False,,,
1970-01-01 00:00:01.750811940,102845.0817,102879.0098,102720.1483,102742.5106,158861,,,,0,,,False,,,
1970-01-01 00:00:01.750812000,102682.1732,102711.9354,102625.1271,102680.5308,86808,,,,0,,,False,,,
1970-01-01 00:00:01.750812060,102672.511,102741.3882,102471.8168,102492.7754,269571,,,,0,,,False,,,
1970-01-01 00:00:01.750812120,102499.728,102611.7378,102450.9943,102581.039,160743,,,,0,,,False,,,
1970-01-01 00:00:01.750812180,102628.2865,102664.8864,102558.89,102602.3537,105996,,,,0,,,False,,,
1970-01-01 00:00:01.750812240,102576.174,102581.6085,102423.7528,102505.3916,157856,,,,0,,,False,,,
1970-01-01 00:00:01.750812300,102492.9291,102494.102,102350.1279,102365.1689,143974,102350.1279,103393.7449,102902.97536000001,0,,,False,,,
1970-01-01 00:00:01.750812360,102344.8296,102457.6608,102299.5642,102413.0156,158097,102299.5642,103393.7449,102869.240175,0,,,False,,,
1970-01-01 00:00:01.750812420,102433.4351,102594.042,102433.4351,102476.9339,160607,102299.5642,103393.7449,102830.11402000001,0,,,False,,,
1970-01-01 00:00:01.750812480,102473.1414,102495.3219,102327.932,102429.0809,167390,102299.5642,103393.7449,102789.97382,0,,,False,,,
1970-01-01 00:00:01.750812540,102452.0007,102482.7915,102360.5091,102360.5091,122282,102299.5642,103393.7449,102742.20740500001,0,,,False,,,
1970-01-01 00:00:01.750812600,102382.6862,102394.3304,102294.1485,102306.0575,100182,102294.1485,103229.9174,102697.44122000001,0,,,False,,,
1970-01-01 00:00:01.750812660,102284.3588,102284.3588,102191.9165,102261.4341,92442,102191.9165,103173.5095,102655.0105,0,,,False,,,
1970-01-01 00:00:01.750812720,102239.7064,102239.7064,102074.7142,102112.3125,164992,102074.7142,103173.5095,102602.05967999999,0,,,False,,,
