timestamp,open,high,low,close,tick_volume
1750811160,103081.3158,103105.1082,103020.3463,103087.7193,84762
1750811220,103097.0974,103272.2958,103084.6219,103259.457,187674
1750811280,103247.196,103303.2649,103220.2858,103231.8849,82979
1750811340,103231.6742,103353.1538,103205.491,103315.8374,147663
1750811400,103289.7165,103393.7449,103201.3812,103201.3812,192364
1750811460,103224.2106,103229.9174,103110.0485,103110.0485,119869
1750811520,103126.165,103171.3289,103091.1712,103171.3289,80158
1750811580,103173.5095,103173.5095,103034.8916,103034.8916,138618
1750811640,103051.4099,103105.1771,103032.9906,103077.42,72186
1750811700,103091.1078,103091.1078,102910.829,102953.106,180279
1750811760,102946.3809,103063.356,102929.3681,102977.542,133988
1750811820,102970.2381,102993.7722,102833.3747,102833.3747,160398
1750811880,102807.364,102875.5698,102760.6359,102835.7457,114934
1750811940,102845.0817,102879.0098,102720.1483,102742.5106,158861
1750812000,102682.1732,102711.9354,102625.1271,102680.5308,86808
1750812060,102672.511,102741.3882,102471.8168,102492.7754,269571
1750812120,102499.728,102611.7378,102450.9943,102581.039,160743
1750812180,102628.2865,102664.8864,102558.89,102602.3537,105996
1750812240,102576.174,102581.6085,102423.7528,102505.3916,157856
1750812300,102492.9291,102494.102,102350.1279,102365.1689,143974
1750812360,102344.8296,102457.6608,102299.5642,102413.0156,158097
1750812420,102433.4351,102594.042,102433.4351,102476.9339,160607
1750812480,102473.1414,102495.3219,102327.932,102429.0809,167390
1750812540,102452.0007,102482.7915,102360.5091,102360.5091,122282
1750812600,102382.6862,102394.3304,102294.1485,102306.0575,100182
1750812660,102284.3588,102284.3588,102191.9165,102261.4341,92442
1750812720,102239.7064,102239.7064,102074.7142,102112.3125,164992
1750812780,102148.7964,102266.4696,102142.6574,102266.4696,123812
1750812840,102272.8167,102277.6979,102076.7235,102102.7061,200974
1750812900,102083.8657,102159.8604,102071.5593,102078.4065,88301
1750812960,102118.3071,102174.895,102054.9487,102054.9487,119946
1750813020,102054.6584,102069.7663,101987.0877,102069.7663,82679
1750813080,102048.6989,102060.8645,101804.5087,101897.2247,256356
